##hcel: 366, #label: 3
23,60,1
5,57,0
9,62,0
10,61,0
52,68,-1
7,55,-1
40,66,0
12,59,0
17,64,-1
30,66,0
13,58,-1
0,55,0
1,54,0
2,53,0
35,65,0
0,45,-1
36,67,0
2,47,-1
52,67,-1
16,60,0
18,62,0
42,67,0
24,59,1
25,58,1
28,63,0
48,68,0
29,62,0
3,55,0
38,64,0
4,48,-1
5,53,-1
6,58,0
44,68,0
0,5,-1
0,59,0
1,58,0
57,69,-1
34,65,0
3,60,0
8,58,-1
5,62,0
9,59,0
6,61,0
7,56,-1
11,61,0
53,69,-1
13,63,0
44,67,0
14,60,0
19,58,-1
0,50,0
20,61,0
1,51,0
23,64,0
2,56,0
22,63,0
23,62,0
9,60,0
6,52,-1
10,59,0
30,64,0
1,52,0
2,51,0
0,47,0
53,66,-1
1,46,-1
3,48,-1
26,65,0
16,62,0
17,63,0
18,60,0
42,65,0
27,64,0
0,0,-1
24,61,1
47,66,-1
26,63,0
27,62,1
37,66,0
3,57,0
8,53,-1
50,68,0
5,51,-1
35,63,-1
6,56,-1
10,55,-1
7,61,0
31,64,0
14,59,-1
33,65,0
1,56,0
53,68,-1
4,57,0
8,60,0
5,60,0
9,57,-1
10,62,0
7,58,-1
53,67,-1
64,69,-1
13,61,0
15,59,-1
19,60,0
0,52,0
46,68,0
20,63,0
1,49,0
21,62,0
2,54,0
0,42,-1
22,61,1
1,43,-1
39,66,0
36,64,0
49,66,-1
12,55,-1
2,49,0
32,65,0
3,50,0
25,65,0
30,62,-1
4,53,0
31,63,0
17,61,0
55,67,-1
0,2,-1
24,63,0
25,62,1
21,64,0
45,67,0
26,61,1
0,56,0
37,64,0
34,66,0
3,59,0
33,63,0
4,60,0
50,66,-1
5,49,-1
9,54,-1
6,62,-1
54,68,-1
31,66,0
28,64,0
41,66,0
14,57,-1
15,60,0
46,67,0
2,61,0
23,61,1
4,59,0
8,62,-1
5,58,0
24,65,0
10,60,0
40,65,0
12,58,-1
13,59,0
22,64,0
19,62,0
0,54,0
1,55,0
21,60,-1
2,52,0
0,44,-1
23,58,1
36,66,0
29,64,0
16,59,-1
17,58,-1
42,66,0
55,68,-1
43,66,0
24,58,1
25,59,1
27,61,1
28,62,1
48,67,0
29,63,0
3,52,0
38,67,0
4,55,0
5,54,-1
0,4,-1
25,60,1
45,65,-1
26,59,1
0,58,0
1,59,0
34,64,0
3,61,0
8,57,-1
6,60,0
51,68,0
7,57,-1
11,58,-1
12,61,0
44,66,0
41,64,-1
14,63,0
15,62,0
56,69,-1
19,59,-1
0,49,0
1,60,0
23,65,0
2,59,0
22,62,0
23,63,0
39,65,0
5,56,0
9,61,0
6,55,-1
10,58,-1
52,69,-1
7,54,-1
40,67,0
13,57,-1
19,64,0
1,53,0
21,58,1
2,50,0
35,64,0
0,46,0
1,47,0
26,64,0
16,61,0
18,63,0
43,68,0
24,60,1
47,67,0
26,62,1
27,63,0
37,67,0
32,59,-1
29,61,-1
3,54,0
38,65,0
5,52,-1
6,59,0
36,63,-1
10,54,-1
31,65,0
20,64,0
0,6,-1
33,66,0
1,57,0
4,56,0
8,59,0
5,61,0
9,58,-1
7,59,0
11,60,0
12,63,-1
13,62,0
14,61,0
18,64,0
15,56,-1
19,61,0
0,51,0
20,62,0
1,50,0
58,69,-1
21,63,0
2,57,0
0,41,-1
22,60,1
23,57,1
39,67,0
10,56,-1
49,67,0
11,53,-1
30,65,0
13,55,-1
27,65,0
47,68,0
2,48,0
35,66,0
32,64,0
1,45,-1
3,51,0
4,52,0
49,68,0
16,63,0
17,62,0
18,61,0
24,62,1
25,63,0
45,68,0
26,60,1
0,39,-1
37,65,0
12,62,0
3,56,0
4,51,-1
6,57,-1
51,67,-1
7,60,0
11,57,-1
41,67,0
15,61,0
33,64,0
46,66,0
2,60,0
22,59,1
4,58,0
8,61,0
5,59,0
9,56,-1
24,64,0
7,53,-1
11,62,0
12,57,-1
13,60,0
15,58,-1
19,63,0
0,53,0
1,48,0
21,61,0
2,55,0
0,43,-1
62,69,-1
59,69,-1
1,42,-1
23,59,1
36,65,0
29,65,0
16,58,-1
17,59,-1
55,69,-1
43,67,0
24,57,1
32,66,0
48,66,-1
3,53,0
25,64,0
38,66,0
30,63,0
4,54,0
5,55,-1
54,66,-1
17,60,0
18,59,-1
0,3,-1
25,61,1
45,66,0
26,58,1
0,57,0
32,63,0
3,58,0
4,61,0
8,56,-1
50,67,-1
5,48,-1
54,69,-1
7,62,-1
28,65,0
11,59,0
12,60,0
44,65,-1
41,65,0
14,62,0
15,63,0
56,68,-1
0,48,0
2,58,0
