879,1520,700
269,1290,1000
615,243,200
468,1071,6774
968,1207,14264
1443,264,17366
490,217,400
269,1852,17477
1962,957,1100
289,789,500
776,541,16125
1898,104,900
1641,188,300
1706,489,900
634,784,1100
746,388,200
1562,2048,200
490,2123,38000
1530,2003,300
1738,42,17
1418,218,22
269,367,50
615,2036,38
771,1028,7
781,1910,107
1319,945,48
269,1841,2900
1306,1920,42
884,1582,28
911,1285,42
1704,1045,200
566,1937,11900
660,200,1100
323,174,200
1599,827,700
879,62,30192
1319,622,1600
781,497,14100
198,1741,20066
675,2088,1000
1125,1511,22452
1888,1033,800
2021,1239,18347
418,870,400
968,404,14264
254,1950,13851
1443,1155,17366
746,1742,23524
138,938,1200
879,2137,25200
566,78,43737
634,2175,24863
1074,1394,5810
325,1747,12644
1706,775,32594
564,1663,25609
1527,16,20281
911,1885,14779
1072,1367,6959
724,810,20567
884,1785,10737
289,822,24009
1430,555,800
879,1733,19136
1333,815,45925
118,1820,6200
1706,1457,4500
498,732,900
226,2293,300
1738,1687,23990
0,133,1100
674,1784,900
879,1381,14
564,445,31
246,2253,61
1391,2158,2
615,432,50
626,1135,110
946,1909,39
1306,724,111
890,1556,18
196,1441,13
170,204,42
2019,2227,43
1110,1175,23
1093,67,48
269,2303,8900
675,731,11538
152,835,23041
893,1912,14609
826,1512,43493
1897,95,19000
355,642,17914
204,732,5404
357,2017,8200
246,677,700
309,2161,16623
468,531,6774
468,451,2200
884,715,2500
365,1884,34483
1828,1682,700
968,724,14264
890,348,8905
1074,577,8300
1131,640,20740
325,902,8400
246,406,22349
564,1832,25609
490,1502,2400
161,785,400
911,1381,14779
387,422,9650
950,187,4200
1025,2163,18300
1330,1002,20203
502,114,24419
950,162,14963
948,763,19653
234,162,1000
724,1539,7500
1391,2311,15447
1418,1751,10539
658,1303,3700
1449,2015,900
1333,1120,500
1802,1418,7824
219,2223,13500
781,606,22685
1333,1204,14900
1330,2077,1400
1448,1841,6700
87,2016,29700
1743,1177,12801
782,349,2100
2021,1452,10700
1743,1613,39703
890,960,800
1418,2118,24226
912,2094,38820
1898,217,1300
1712,1063,23851
1751,2218,29082
1776,279,900
384,1509,800
746,416,12200
226,1486,10200
82,1827,700
1345,2256,300
1677,2053,1100
913,2292,300
912,231,7900
1732,1447,700
1486,1477,400
362,2331,135
355,1454,37
674,931,6
323,1466,294
346,672,56
1897,1740,157
198,1613,100
682,610,8600
1261,365,52
198,698,233
825,1719,60
128,590,28
138,2238,123
417,2108,317
98,1871,2
884,409,136
890,1763,82
166,2324,92
42,1865,54
1549,1626,157
1562,2169,105
2019,312,92
0,1579,13
1074,1871,68
1268,2274,300
1255,1667,800
1443,1646,14700
1704,1002,7600
615,1129,500
1511,1561,800
1599,1267,18600
1631,1859,38655
192,434,6100
203,418,12880
162,1370,23268
415,2241,23330
329,152,5600
138,1840,19935
893,967,14609
826,408,43493
82,1266,21718
825,1478,11584
346,771,3600
309,1379,16623
468,1737,6774
